version,xAvgCharWidth,usWeightClass,usWidthClass,ySubscriptXSize,ySubscriptYSize,ySubscriptXOffset,ySubscriptYOffset,ySuperscriptXSize,ySuperscriptYSize,ySuperscriptXOffset,ySuperscriptYOffset,yStrikeoutSize,yStrikeoutPosition,usFirstCharIndex,usLastCharIndex,sTypoAscender,sTypoDescender,sTypoLineGap,usWinAscent,usWinDescent,bFamilyType,bSerifStyle,bWeight,bProportion,bContrast,bStrokeVariation,bArmStyle,bLetterForm,bMidline,bXHeight,font
1,904,400,5,1434,1331,0,283,1434,1331,0,977,102,530,13,64258,1638,-410,0,2060,705,2,11,6,4,2,2,2,2,2,4,arial
2,485,300,5,700,650,0,140,700,650,0,477,50,250,32,64260,740,-260,200,955,222,2,0,5,3,3,0,0,2,0,4,avantgarde
3,591,400,5,700,650,0,140,700,650,0,477,50,250,13,65096,1000,-366,0,1000,366,2,11,5,3,2,2,2,2,2,4,avenir_next
3,1080,400,5,1433,1331,0,286,1433,1331,0,976,134,512,13,65279,1536,-512,452,1950,550,2,15,5,2,2,2,4,3,2,4,calibri
3,921,500,5,1331,1229,0,154,1331,1229,0,717,209,604,32,64260,1366,-682,0,2154,552,0,0,6,0,0,0,0,0,0,0,franklin_gothic
4,992,400,5,1331,1229,0,154,1331,1229,0,717,102,492,13,64260,1638,-410,0,2421,1273,0,0,5,0,0,0,0,0,0,0,garamond
3,527,400,5,650,600,0,75,650,600,0,350,50,310,32,64258,714,-286,200,952,214,2,11,6,4,2,2,2,2,2,4,helvetica
3,1076,400,5,1434,1331,0,287,1434,1331,0,977,91,563,32,64260,1649,-399,0,2209,590,2,15,5,2,2,2,4,3,2,3,lato
4,1172,400,5,1331,1229,0,154,1331,1229,0,717,102,645,13,64258,1638,-410,0,2134,577,0,0,5,0,0,0,0,0,0,0,montserrat
4,1091,400,5,1331,1229,0,154,1331,1229,0,717,102,659,13,64260,1638,-410,0,2185,837,2,11,5,2,4,5,4,2,2,4,noto_sans
3,1093,400,5,1434,1331,0,287,1434,1331,0,977,102,497,13,64260,1638,-410,0,2146,595,2,11,6,6,3,5,4,2,2,4,open_sans
4,888,400,5,1331,1229,0,154,1331,1229,0,717,102,709,13,64260,1638,-410,0,2656,628,0,0,5,0,0,0,0,0,0,0,oswald
2,446,400,5,650,600,0,75,650,600,0,350,50,225,32,64258,780,-220,200,936,264,2,0,5,3,5,0,0,2,0,4,poynter_gothic_text
3,1040,400,5,1434,1331,0,287,1434,1331,0,977,102,512,2,64260,1638,-410,0,2163,595,2,0,0,0,0,0,0,0,0,0,roboto
1,822,400,5,1434,1331,0,293,1434,1331,0,928,102,530,32,64258,1420,-442,307,1839,446,2,2,6,3,6,4,5,2,3,4,times
4,512,400,5,650,600,0,75,650,600,0,350,50,276,32,64260,728,-272,200,864,252,2,4,6,3,6,5,6,2,2,4,utopia
