"font-name","stroke-contrast","weight","avg-ascender-length","avg-descender-length","avg-char-width-lower","lower-width-sd","lower-char-space","lower-x-height"
"open_sans","0.11","0.172","3.66","3.961","6.826","2.347","1.552","8.563"
"arial","0.075","0.194","3.251","3.414","6.643","2.27","1.2","8.297"
"roboto","0.039","0.192","3.626","3.428","6.539","2.227","1.446","8.453"
"franklin_gothic","0.004","0.278","2.882","3.166","5.538","1.687","0.974","7.891"
"helvetica","0.149","0.177","3.237","3.396","6.803","2.406","1.232","8.272"
"noto_sans","0.12","0.184","3.645","3.961","6.895","2.336","1.591","8.578"
"oswald","0.024","0.325","3.677","2.922","5.259","1.574","1.147","9.25"
"poynter_gothic_text","0.013","0.205","3.451","2.696","6.558","2.271","1.474","7.76"
"avantgarde","0.095","0.122","3.192","3.332","7.422","2.929","1.258","8.752"
"merriweather","0.596","0.273","4.307","4.196","8.252","2.468","0.792","8.88"
"poppins","0.158","0.172","3.184","4.3","7.46","2.791","1.528","8.768"
"georgia","0.235","0.215","4.497","3.682","7.543","2.077","0.418","7.703"
"times","0.49","0.133","3.786","3.598","6.797","1.862","0.533","7.195"
"garamond","0.055","0.194","4.862","4.713","6.493","2.033","0.484","6.539"
"lato","0.04","0.189","3.691","2.896","6.592","2.18","1.292","8.102"
"montserrat","0.122","0.134","3.5","3.191","7.513","2.727","1.614","8.414"
"utopia","0.073","0.224","3.965","3.792","7.211","2.208","0.525","7.376"
"source_serif_pro","0.266","0.134","4.32","4.02","7.444","2.074","0.705","7.6"
"avenir_next","0.062","0.145","4.704","3.984","6.534","2.273","1.693","7.488"
"calibri","0.01","0.194","3.452","2.877","5.824","1.992","1.475","7.516"
